sku;name;category;net_sales;realized_net_sales;product_cogs;shipping_cost;estimated_return_cost;contribution_margin;contribution_margin_pct;units_sold;units_returned;return_rate
SKU-06594;HoneyDew Calm Bag 6594;Bags;38484;34068;20300,5;2160,46;273,99;11333,05;0,332659681;312;37;0,11858974358974358
SKU-04551;BurlyWood Fine Accessorie 4551;Accessories;24662,4;20537,6;10720,25;2514,55;439,21;6863,59;0,334196303;378;65;0,17195767195767195
SKU-01756;Silver Extra Bag 1756;Bags;75798;66729;41936,64;2052,32;315,43;22424,61;0,336054939;306;38;0,12418300653594772
SKU-05840;MediumBlue Ago Outerwear 5840;Outerwear;136354,5;115191;73417,77;2457,71;446,6;38868,92;0,337430181;370;59;0,15945945945945947
SKU-06838;IndianRed Informal Shoe 6838;Shoes;31455,6;28371,6;16403,94;2109,12;271,04;9587,5;0,337925954;314;32;0,10191082802547771
SKU-03518;LemonChiffon Pure Bag 3518;Bags;80823;68910;42764,74;2387,12;441,19;23316,95;0,338368161;328;50;0,1524390243902439
SKU-09585;DarkOrchid Weak Outerwear 9585;Outerwear;78027,6;67734,8;42206,6;2173,93;407,91;22946,36;0,338767664;336;46;0,13690476190476192
SKU-05995;Cyan Helpful Swimwear 5995;Swimwear;41067;35229;20550,24;2203,03;342,61;12133,12;0,344407165;333;49;0,14714714714714713
SKU-08262;Yellow Actual Bottom 8262;Bottoms;22209,3;19133,1;10194,24;2066,63;271;6601,23;0,345016228;302;43;0,14238410596026491
SKU-01863;Peru Exciting Bottom 1863;Bottoms;33428,4;28802,4;16408,2;2136,47;314,57;9943,16;0,345219843;338;48;0,14201183431952663
SKU-04641;LightSeaGreen Rough Dresse 4641;Dresses;59617,8;51576,8;31262,72;2151,92;314,94;17847,22;0,346031937;330;46;0,1393939393939394
SKU-01521;SpringGreen Main Swimwear 1521;Swimwear;27216;22969,2;12656,83;1963,24;379,51;7969,62;0,346969855;273;44;0,16117216117216118
SKU-04081;LightSkyBlue Equal Bag 4081;Bags;101720;83540;51930,3;2200,82;383,71;29025,17;0,347440388;311;57;0,18327974276527331
SKU-03446;Peru Eastern Swimwear 3446;Swimwear;29492,4;25321,2;14158,13;2061,62;295,45;8806;0,347771828;301;44;0,1461794019933555
SKU-03472;Pink Fair Accessorie 3472;Accessories;13297;10885;4455,5;2166,71;455,61;3807,18;0,349763895;326;60;0,18404907975460122
SKU-01275;Pink Tough Swimwear 1275;Swimwear;25041;22197;12274,08;1884,8;270,92;7767,2;0,349921161;309;36;0,11650485436893204
SKU-03131;Gold New Top 3131;Tops;25755;22474;12381,6;1911,07;277,17;7904,16;0,351702412;309;41;0,13268608414239483
SKU-05107;Maroon Exciting Outerwear 5107;Outerwear;76188;64405,6;39239,2;2116,41;355,45;22694,54;0,352369049;333;53;0,15915915915915915
SKU-04863;Maroon Silly Accessorie 4863;Accessories;13768;12009;5124,51;2244,48;406,76;4233,25;0,352506453;335;44;0,13134328358208955
SKU-02779;White Accurate Top 2779;Tops;17172;14564;7490,57;1636,85;279,65;5156,93;0,354087476;264;41;0,1553030303030303
SKU-08901;DarkMagenta Weird Top 8901;Tops;28890;23808;12533,37;2360,42;446,2;8468,01;0,355679183;354;63;0,17796610169491525
SKU-05498;BlueViolet Raw Bag 5498;Bags;106480;89564;55139,84;2096,35;399,15;31928,66;0,356489884;325;53;0,16307692307692306
SKU-09925;LightYellow Worth Outerwear 9925;Outerwear;86313,5;68950;41722,23;2109,41;507,93;24610,43;0,356931545;301;62;0,20598006644518271
SKU-07887;SlateGray Asleep Swimwear 7887;Swimwear;13842;11968,2;5546,4;1797,68;331,06;4293,06;0,35870557;279;39;0,13978494623655913
SKU-09173;PaleGreen Loose Swimwear 9173;Swimwear;30414;25617,6;14058,42;2018,2;350,71;9190,27;0,358748282;307;49;0,15960912052117263
SKU-09423;Crimson Senior Dresse 9423;Dresses;36139,2;31778,4;17548,19;2376,56;326,15;11527,5;0,362746394;365;46;0,12602739726027398
SKU-09631;Sienna Terrible Dresse 9631;Dresses;68636,4;59612;35478,85;1994,89;266,91;21871,35;0,366895088;297;40;0,13468013468013468
SKU-07949;LightSeaGreen Consistent Shoe 7949;Shoes;31424,4;26349,6;14116,56;2112,55;451,41;9669,08;0,366953578;315;53;0,16825396825396827
SKU-02246;DarkOrange Mobile Shoe 2246;Shoes;52375,4;45029,6;25947,95;2125,74;290,97;16664,94;0,370088564;287;42;0,14634146341463414
SKU-05898;Plum Common Dresse 5898;Dresses;44656,2;37148,4;20834,55;2141,62;392,67;13779,56;0,370932799;305;52;0,17049180327868851
SKU-01706;Lime Content Bottom 1706;Bottoms;43669,8;35706,6;19964,44;2043,54;432,76;13265,86;0,371524032;297;56;0,18855218855218855
SKU-06459;DarkGoldenRod Smart Bag 6459;Bags;49848;43718;24986,85;2082,62;317,84;16330,69;0,373546137;303;38;0,1254125412541254
SKU-07725;Peru Tall Accessorie 7725;Accessories;23111,2;19332;9303,27;2285,94;496,95;7245,84;0,374810677;350;59;0,16857142857142857
SKU-08484;LightBlue Extreme Bag 8484;Bags;80523;71391;42107,3;2162,69;286,97;26834,04;0,37587427;327;38;0,11620795107033639
SKU-05203;DarkGray Adult Dresse 5203;Dresses;22370,4;19611,9;10201,1;1770,9;235,14;7404,76;0,377564642;304;38;0,125
SKU-07957;PaleGoldenRod Strong Accessorie 7957;Accessories;22315,2;19420,8;9478,56;2241,1;339,21;7361,93;0,379074497;339;45;0,13274336283185842
SKU-07599;AliceBlue Smooth Bottom 7599;Bottoms;54843,8;45586,2;25627,08;2136,13;318,88;17504,11;0,383978265;302;53;0,17549668874172186
SKU-07146;MediumSpringGreen Visible Accessorie 7146;Accessories;25798;23344;12061,46;2069,13;240,77;8972,64;0,384366004;313;30;0,095846645367412137
SKU-09656;Maroon Entire Outerwear 9656;Outerwear;46668;39158;21729,4;1935,01;381,89;15111,7;0,385916032;285;47;0,1649122807017544
SKU-03776;MediumSpringGreen Immediate Shoe 3776;Shoes;38658;34360,5;18698,28;2176,9;210,78;13274,54;0,386331398;314;36;0,11464968152866242
SKU-01785;Yellow Smart Top 1785;Tops;26773;22960;11580,8;2200,47;304,46;8874,27;0,386510017;328;48;0,14634146341463414
SKU-02152;DeepPink Valuable Bottom 2152;Bottoms;47289,6;39250,8;21544,96;1961,9;426,66;15317,28;0,390241218;319;56;0,17554858934169279
SKU-09085;DarkSeaGreen Sad Outerwear 9085;Outerwear;116235;101565;58734,64;2218,85;351,41;40260,1;0,396397381;315;41;0,13015873015873017
SKU-01600;Maroon International Top 1600;Tops;12897;11069,5;4256,8;2041,46;363,43;4407,81;0,398194137;318;46;0,14465408805031446
SKU-02367;LimeGreen Sensitive Dresse 2367;Dresses;30300;26432,4;13438,15;2123,67;325,54;10545,04;0,398943721;305;40;0,13114754098360656
SKU-08658;MediumOrchid Federal Top 8658;Tops;20477,6;17996;8433,96;2014,29;353,39;7194,36;0,399775506;307;39;0,12703583061889251
SKU-02129;LightGray Educational Outerwear 2129;Outerwear;92746,5;82719;47128,32;2202,8;269,38;33118,5;0,400373554;324;36;0,1111111111111111
SKU-06927;LightGreen Funny Dresse 6927;Dresses;52401,8;43885,6;24036,44;1901,59;346,03;17601,54;0,401077802;293;49;0,16723549488054607
SKU-05638;Peru Special Bottom 5638;Bottoms;14244;11826,6;4899,53;1780,47;394,94;4751,66;0,401777349;292;51;0,17465753424657535
SKU-09176;SkyBlue Friendly Bag 9176;Bags;59732,5;52175;29089,83;1826,29;272,03;20986,85;0,402239578;295;38;0,12881355932203389
SKU-04270;Aqua Loud Bottom 4270;Bottoms;56546,6;47022,8;25646,03;2104,73;348,69;18923,35;0,402429247;311;54;0,17363344051446947
SKU-02366;DarkGreen Actual Bag 2366;Bags;60455;51962,5;28644,66;1991,96;284,49;21041,39;0,404934135;296;43;0,14527027027027026
SKU-02427;FireBrick National Bottom 2427;Bottoms;17099,4;14881,2;6335,48;2179,14;339,85;6026,73;0,404989517;344;46;0,13372093023255813
SKU-05145;Peru Lost Bag 5145;Bags;95000;80760;45573,96;2044,27;310,6;32831,17;0,406527613;290;44;0,15172413793103448
SKU-07483;DimGray Loud Swimwear 7483;Swimwear;42883,5;38017,5;19979,56;2284,67;293,84;15459,43;0,406639837;347;40;0,11527377521613832
SKU-04882;DarkKhaki Efficient Dresse 4882;Dresses;80757,6;68975,2;38331,74;2235,06;343,17;28065,23;0,406888708;351;53;0,150997150997151
SKU-09349;LightBlue Interesting Top 9349;Tops;18426,4;15692;7057,05;1910,18;304,47;6420,3;0,409144787;278;43;0,15467625899280577
SKU-07481;DarkRed Left Top 7481;Tops;29473,2;24158,4;11853,1;2032,19;387,63;9885,48;0,409194318;300;55;0,18333333333333332
SKU-01788;LawnGreen Deep Shoe 1788;Shoes;29637,6;25150,8;12579,84;1935,77;338,54;10296,65;0,40939652;302;46;0,152317880794702
SKU-07929;Moccasin Pure Swimwear 7929;Swimwear;15703,8;13804,8;5744,9;2094,32;259,92;5705,66;0,413309863;322;39;0,12111801242236025
SKU-05131;CornflowerBlue Unable Accessorie 5131;Accessories;31729,2;26679,6;13232,7;2074,65;337,3;11034,95;0,413610024;323;53;0,16408668730650156
SKU-02493;MistyRose Cool Bottom 2493;Bottoms;20052,9;16246,8;7167,6;1968,28;366,16;6744,76;0,415143905;273;53;0,19413919413919414
SKU-04424;Brown Used Dresse 4424;Dresses;66836;59315,2;32424,48;1907,06;304,6;24679,06;0,416066371;287;34;0,11846689895470383
SKU-04135;Peru Useful Dresse 4135;Dresses;68210,8;59245,2;32167,44;2060,36;288,55;24728,85;0,417398372;298;40;0,13422818791946309
SKU-06761;RosyBrown Hungry Dresse 6761;Dresses;41487;35530,5;18038;2256,25;356,95;14879,3;0,418775418;340;50;0,14705882352941177
SKU-08007;LightSeaGreen Every Bag 8007;Bags;53744;46908;24748,32;2010,95;335,84;19812,89;0,422377633;325;43;0,13230769230769232
SKU-03715;LightGray Junior Outerwear 3715;Outerwear;86296;74462,5;40656,2;1953,6;389,69;31463,01;0,422534967;302;42;0,13907284768211919
SKU-07252;WhiteSmoke Lonely Outerwear 7252;Outerwear;110308,5;94572;52358,35;1916,96;309,32;39987,37;0,42282462;297;44;0,14814814814814814
SKU-06682;Tan Frequent Outerwear 6682;Outerwear;82239,5;74000,5;40467,22;1968,14;261,13;31304,01;0,423024304;286;29;0,10139860139860139
SKU-03710;LightBlue Neat Top 3710;Tops;36051;31398;15774,55;1971,31;358,21;13293,93;0,423400535;292;39;0,13356164383561644
SKU-08352;MediumSeaGreen Dangerous Swimwear 8352;Swimwear;27911;24119;11387,12;2131,36;366,32;10234,2;0,424321075;344;48;0,13953488372093023
SKU-05452;Turquoise Few Outerwear 5452;Outerwear;120240;104148;56927,79;2350,56;312,12;44557,53;0,427828955;326;45;0,13803680981595093
SKU-08843;FloralWhite Comfortable Bottom 8843;Bottoms;47507,4;42597;21936,2;2202,01;229,39;18229,4;0,427950325;320;34;0,10625
SKU-03189;LightGray Main Swimwear 3189;Swimwear;25081;20694;9291,42;2103,23;421,2;8878,15;0,429020489;301;55;0,18272425249169436
SKU-06048;Gray Brave Swimwear 6048;Swimwear;45109,8;39061,8;19985,37;2024,03;292,68;16759,72;0,429056521;305;42;0,13770491803278689
SKU-08155;Indigo Foreign Accessorie 8155;Accessories;26082;23396;11012,39;2077,99;228,12;10077,5;0,430736023;315;34;0,10793650793650794
SKU-04903;Yellow Bright Dresse 4903;Dresses;43207,5;35734,5;17481,6;2284,92;488,96;15479,02;0,433167387;350;62;0,17714285714285713
SKU-04977;DarkGreen Intelligent Shoe 4977;Shoes;95585;81539,5;43636,6;2114,9;336,46;35451,54;0,4347775;334;50;0,1497005988023952
SKU-04253;CadetBlue Wonderful Outerwear 4253;Outerwear;87549;72047,5;38026,5;2110,63;423,04;31487,33;0,437035706;306;55;0,17973856209150327
SKU-05989;LightGray Proper Top 5989;Tops;38452,5;33120;16204,23;2092;333,77;14490;0,4375;312;45;0,14423076923076922
SKU-01813;Khaki Other Outerwear 1813;Outerwear;157877,5;135921,5;73772,27;2152,25;359,51;59637,47;0,438764066;349;50;0,14326647564469913
SKU-08396;Coral Physical Outerwear 8396;Outerwear;66911,6;57223,6;29958,63;1784,07;337,17;25143,73;0,439394411;290;43;0,14827586206896551
SKU-08630;Thistle Pleasant Bottom 8630;Bottoms;16737;14449,2;5537,15;2185,26;299,78;6427,01;0,444800404;343;48;0,13994169096209913
SKU-08313;LightGray Political Outerwear 8313;Outerwear;80857;70000;36648,48;1799;330,88;31221,64;0,446023429;281;39;0,13879003558718861
SKU-01808;YellowGreen Recent Shoe 1808;Shoes;87493;74553,5;38668,7;2084,13;386,82;33413,85;0,448186202;305;46;0,15081967213114755
SKU-06666;DeepSkyBlue Substantial Outerwear 6666;Outerwear;110547;93649,5;49316,4;1890,9;305,54;42136,66;0,449940042;299;47;0,15719063545150502
SKU-07896;AliceBlue Last Accessorie 7896;Accessories;31818;27836,4;12879,33;2052,07;376,65;12528,35;0,450070771;325;42;0,12923076923076923
SKU-08397;Red Slow Shoe 8397;Shoes;53512,8;46734,6;23387,7;1926,58;263,97;21156,35;0,452691368;297;39;0,13131313131313133
SKU-06952;PaleGoldenRod Past Bag 6952;Bags;53566;44318;21665,12;2173,72;395,5;20083,66;0,453171623;326;58;0,17791411042944785
SKU-02610;Wheat Large Bag 2610;Bags;109472;93420;48259,05;2332,06;385,92;42442,97;0,454324235;335;50;0,14925373134328357
SKU-01952;SeaGreen Perfect Bottom 1952;Bottoms;22332,6;18578,7;7950,6;1820,53;354,16;8453,41;0,455005463;304;52;0,17105263157894737
SKU-09028;Cornsilk Frequent Dresse 9028;Dresses;43763,4;36786,6;17712,37;1946,62;333,64;16793,97;0,456524115;295;48;0,16271186440677965
SKU-07584;DeepSkyBlue Amazing Bag 7584;Bags;69810;60678;30635,01;1899,72;348,21;27795,06;0,458074755;281;38;0,13523131672597866
SKU-08101;DarkGoldenRod Slight Shoe 8101;Shoes;71246;61012;30703,78;2042,33;246,62;28019,27;0,459241952;308;46;0,14935064935064934
SKU-04869;LightGray Hungry Outerwear 4869;Outerwear;145222;126742;65998,8;2268,49;251,56;58223,15;0,459383235;322;42;0,13043478260869565
SKU-04445;Peru Enough Bottom 4445;Bottoms;47534,4;41344,2;19963,64;1962,86;306,6;19111,1;0,462243797;317;43;0,13564668769716087
SKU-07922;Cyan Clear Dresse 7922;Dresses;56595;47036;22482,2;2089,42;475,3;21989,08;0,467494685;315;55;0,17460317460317459
SKU-07091;LightGray Excellent Top 7091;Tops;24992;21121;8672,84;2139,09;409,7;9899,37;0,468697978;302;49;0,16225165562913907
SKU-06998;IndianRed Entire Bottom 6998;Bottoms;40285,5;34653;15977,66;2042,45;360,22;16272,67;0,469589069;328;47;0,14329268292682926
SKU-05506;Indigo Nasty Shoe 5506;Shoes;54588,6;48633,2;23644,74;1847,05;263,98;22877,43;0,470407664;300;34;0,11333333333333333
SKU-06386;Bisque Tough Shoe 6386;Shoes;64446,8;55710,6;26624,61;2466,06;394,83;26225,1;0,470738064;353;50;0,141643059490085
SKU-08411;Tan Mad Outerwear 8411;Outerwear;109458;97371;48768,09;1978;243,8;46381,11;0,476333919;297;34;0,11447811447811448
SKU-08057;LightGoldenRodYellow Visible Shoe 8057;Shoes;70319,2;56207,2;26727,76;2165,52;448,14;26865,78;0,477977554;307;63;0,20521172638436483
SKU-07811;DimGray Yellow Dresse 7811;Dresses;25635,6;21488,4;8520,2;2275,97;393,91;10298,32;0,4792502;347;57;0,16426512968299711
SKU-08583;Magenta Professional Outerwear 8583;Outerwear;149187,5;127985;63455,42;2162,53;291,8;62075,25;0,485019729;329;48;0,1458966565349544
SKU-02243;Teal Ready Shoe 2243;Shoes;56768,8;51288,6;23942,85;2253,3;209,75;24882,7;0,485150696;316;31;0,0981012658227848
SKU-03888;SandyBrown National Swimwear 3888;Swimwear;33447,6;28941,6;12100,48;2367,93;425,13;14048,06;0,485393344;339;47;0,13864306784660768
SKU-04971;Gold Flat Bottom 4971;Bottoms;29264,4;24354;10211,46;1938,89;354,97;11848,68;0,486518847;297;51;0,17171717171717171
SKU-05008;Ivory Hungry Top 5008;Tops;38974,5;33010,5;14421,09;2043,72;338,31;16207,38;0,490976507;318;49;0,1540880503144654
SKU-08297;Green Usual Dresse 8297;Dresses;55818,4;47209,8;21464,64;2135,57;317,99;23291,6;0,493363666;310;49;0,15806451612903225
SKU-06947;Gold Impossible Bottom 6947;Bottoms;29289,6;25782;10933;1821,39;252,09;12775,52;0,495520906;297;37;0,12457912457912458
SKU-08165;LavenderBlush Lower Dresse 8165;Dresses;54056,2;44926,2;20031,78;1936,28;385,91;22572,23;0,502429095;298;52;0,174496644295302
SKU-07702;PaleTurquoise Visual Dresse 7702;Dresses;67561,2;56988,4;26016,51;1959,04;310,52;28702,33;0,503652147;294;47;0,1598639455782313
SKU-07072;LightSlateGray Easy Dresse 7072;Dresses;44163;38356,5;16465,68;2185,95;355,28;19349,59;0,504467039;357;49;0,13725490196078433
SKU-03006;Olive Serious Accessorie 3006;Accessories;27147,6;22666,8;8992,83;1902,81;329,36;11441,8;0,504782325;276;47;0,17028985507246377
SKU-06962;LightBlue Automatic Dresse 6962;Dresses;39676,5;34336,5;14262,73;2303,8;351,71;17418,26;0,507281173;321;44;0,13707165109034267
SKU-06665;Aqua Immediate Bag 6665;Bags;60810;53502,5;24018,8;2044,66;271,79;27167,25;0,507775338;297;37;0,12457912457912458
SKU-04653;DarkGreen National Shoe 4653;Shoes;40957,5;34282,5;14112;2323,72;404,81;17441,97;0,508771822;335;55;0,16417910447761194
SKU-03997;Azure Immediate Bag 3997;Bags;71061;59844;26910,76;1876,45;327,49;30729,3;0,513490074;290;46;0,15862068965517243
SKU-02918;MistyRose Own Outerwear 2918;Outerwear;118462,5;98982;45488,79;2086,3;386,14;51020,77;0,515455032;321;54;0,16822429906542055
SKU-03564;Olive Lost Outerwear 3564;Outerwear;107257,5;93393;42692,1;2072,94;320,57;48307,39;0,517248509;294;39;0,1326530612244898
SKU-04921;LawnGreen Entire Bag 4921;Bags;35830,5;31296;12837,16;1921,74;322,93;16214,17;0,51809081;292;38;0,13013698630136986
SKU-01065;Cornsilk Spare Dresse 1065;Dresses;78075,2;65335,2;28745,1;2228,42;367,12;33994,56;0,520310032;341;56;0,16422287390029325
SKU-07255;DarkOrchid Objective Dresse 7255;Dresses;46445,4;39648,6;16371,7;2158,3;411,62;20706,98;0,522262577;312;47;0,15064102564102563
SKU-04812;HoneyDew Sad Dresse 4812;Dresses;58368,2;46503,6;19507,38;2201,16;440,7;24354,36;0,523709132;326;68;0,20858895705521471
SKU-02497;LightPink Sharp Dresse 2497;Dresses;78839,6;68045,6;29727,78;2250,49;323,26;35744,07;0,525295831;341;48;0,14076246334310852
SKU-09878;Cornsilk Large Dresse 9878;Dresses;52621,8;45148,4;18827,51;1953,58;293,73;24073,58;0,533210036;294;43;0,14625850340136054
SKU-06044;YellowGreen Gross Shoe 6044;Shoes;97002,5;85169;36984,15;2226,43;283,98;45674,44;0,536280102;337;42;0,12462908011869436
SKU-05467;AliceBlue Downtown Swimwear 5467;Swimwear;37188;32503,5;12674,16;2055,06;318,16;17456,12;0,537053548;300;39;0,13
SKU-03093;Tan Double Bottom 3093;Bottoms;43234,2;36977,4;14952,07;1810,5;261,5;19953,33;0,539608788;295;44;0,14915254237288136
SKU-03930;Navy Famous Swimwear 3930;Swimwear;40837,5;34051,5;13183,17;2071,63;414,58;18382,12;0,5398329;330;57;0,17272727272727273
SKU-05221;DimGray Proper Outerwear 5221;Outerwear;149594,5;129057,5;56754,56;2105,16;329,71;69868,07;0,541371637;331;47;0,1419939577039275
SKU-02447;MediumPurple Pregnant Shoe 2447;Shoes;38469;32805;12378,12;2189,6;334,52;17902,76;0,545732663;314;47;0,14968152866242038
SKU-07707;CornflowerBlue Vast Bag 7707;Bags;52902;44876;17829,09;2163,39;379,25;24504,27;0,546043988;321;50;0,1557632398753894
