year_month;channel;units_sold;units_returned;gross_sales;taxes;net_sales;returned_sales_value;realized_net_sales;return_rate;net_sales_per_unit;realized_net_sales_per_unit
2024-10-01;wholesale;390;15;83230;0,0;83230,0;3670,0;79560,0;0,0384615384615384;213,41025641;204,0
2024-11-01;marketplace;171;30;39470;8288,7;31181,3;5079,7;26101,6;0,175438596491228;182,346783626;152,640935673
2024-11-01;online;1818;293;363900;76419,0;287481,0;46436,2;241044,8;0,1611661166116611;158,130363036;132,58789879
2024-11-01;retail;620;81;120520;25309,2;95210,8;13588,0;81622,8;0,1306451612903225;153,565806452;131,649677419
2024-11-01;wholesale;439;18;88230;0,0;88230,0;3150,0;85080,0;0,041002277904328;200,979498861;193,804100228
2024-12-01;marketplace;181;33;36360;7635,6;28724,4;5135,0;23589,4;0,1823204419889502;158,698342541;130,328176796
2024-12-01;online;1997;342;391970;82313,7;309656,3;54265,1;255391,2;0,171256885327992;155,060741112;127,887431147
2024-12-01;retail;737;65;142850;29998,5;112851,5;9638,0;103213,5;0,0881953867028493;153,122795115;140,045454545
2024-12-01;wholesale;517;24;99340;0,0;99340,0;5290,0;94050,0;0,04642166344294;192,147001934;181,914893617
2025-01-01;marketplace;96;10;17520;3679,2;13840,8;1279,8;12561,0;0,1041666666666666;144,175;130,84375
2025-01-01;online;1179;217;235470;49448,7;186021,3;35320,9;150700,4;0,1840542832909245;157,778880407;127,820525869
2025-01-01;retail;427;49;81300;17073,0;64227,0;7031,0;57196,0;0,1147540983606557;150,414519906;133,948477752
2025-01-01;wholesale;314;21;61810;0,0;61810,0;4480,0;57330,0;0,0668789808917197;196,847133758;182,579617834
2025-02-01;marketplace;98;15;19790;4155,9;15634,1;2196,2;13437,9;0,1530612244897959;159,531632653;137,121428571
2025-02-01;online;1034;194;213400;44814,0;168586,0;29941,0;138645,0;0,1876208897485493;163,042553191;134,086073501
2025-02-01;retail;331;28;65690;13794,9;51895,1;4819,0;47076,1;0,0845921450151057;156,782779456;142,223867069
2025-02-01;wholesale;256;15;50380;0,0;50380,0;3180,0;47200,0;0,05859375;196,796875;184,375
2025-03-01;marketplace;103;11;19180;4027,8;15152,2;1303,5;13848,7;0,1067961165048543;147,108737864;134,453398058
2025-03-01;online;1412;252;276560;58077,6;218482,4;40361,1;178121,3;0,178470254957507;154,732577904;126,148229462
2025-03-01;retail;488;61;99400;20874,0;78526,0;11470,8;67055,2;0,125;160,913934426;137,408196721
2025-03-01;wholesale;364;18;71610;0,0;71610,0;4520,0;67090,0;0,0494505494505494;196,730769231;184,313186813
2025-04-01;marketplace;148;19;25640;5384,4;20255,6;3041,5;17214,1;0,1283783783783783;136,862162162;116,311486486
2025-04-01;online;1500;286;291040;61118,4;229921,6;42636,3;187285,3;0,1906666666666666;153,281066667;124,856866667
2025-04-01;retail;484;76;93720;19681,2;74038,8;11778,9;62259,9;0,1570247933884297;152,972727273;128,636157025
2025-04-01;wholesale;374;17;70780;0,0;70780,0;4150,0;66630,0;0,0454545454545454;189,251336898;178,155080214
2025-05-01;marketplace;161;26;31440;6602,4;24837,6;3673,5;21164,1;0,1614906832298136;154,270807453;131,454037267
2025-05-01;online;1623;270;317900;66759,0;251141,0;44769,3;206371,7;0,166358595194085;154,738755391;127,154467036
2025-05-01;retail;514;69;95750;20107,5;75642,5;10206,8;65435,7;0,1342412451361867;147,164396887;127,306809339
2025-05-01;wholesale;380;18;73050;0,0;73050,0;4100,0;68950,0;0,0473684210526315;192,236842105;181,447368421
2025-06-01;marketplace;151;23;28980;6085,8;22894,2;2701,8;20192,4;0,152317880794702;151,617218543;133,724503311
2025-06-01;online;1603;289;326700;68607,0;258093,0;42699,5;215393,5;0,1802869619463506;161,006238303;134,368995633
2025-06-01;retail;606;79;128420;26968,2;101451,8;13430,0;88021,8;0,1303630363036303;167,412211221;145,25049505
2025-06-01;wholesale;445;17;88340;0,0;88340,0;2720,0;85620,0;0,0382022471910112;198,516853933;192,404494382
2025-07-01;marketplace;145;19;27550;5785,5;21764,5;2717,6;19046,9;0,1310344827586207;150,1;131,357931034
2025-07-01;online;1654;315;327990;68877,9;259112,1;51626,5;207485,6;0,1904474002418379;156,657859734;125,444740024
2025-07-01;retail;486;88;94330;19809,3;74520,7;12197,6;62323,1;0,1810699588477366;153,334773663;128,236831276
2025-07-01;wholesale;437;18;85750;0,0;85750,0;2810,0;82940,0;0,0411899313501144;196,224256293;189,794050343
2025-08-01;marketplace;110;12;20830;4374,3;16455,7;1390,4;15065,3;0,109090909090909;149,597272727;136,957272727
2025-08-01;online;1538;271;297110;62393,1;234716,9;43110,3;191606,6;0,1762028608582574;152,611768531;124,581664499
2025-08-01;retail;542;53;106090;22278,9;83811,1;7915,8;75895,3;0,0977859778597785;154,63302583;140,028228782
2025-08-01;wholesale;367;7;71360;0,0;71360,0;2030,0;69330,0;0,0190735694822888;194,441416894;188,910081744
2025-09-01;marketplace;141;20;30030;6306,3;23723,7;2425,3;21298,4;0,1418439716312056;168,253191489;151,05248227
2025-09-01;online;1658;298;323000;67830,0;255170,0;44437,5;210732,5;0,1797346200241254;153,902291918;127,100422195
2025-09-01;retail;519;70;101060;21222,6;79837,4;11597,2;68240,2;0,1348747591522158;153,829287091;131,484007707
2025-09-01;wholesale;371;20;72550;0,0;72550,0;2700,0;69850,0;0,0539083557951482;195,552560647;188,274932615
2025-10-01;marketplace;129;21;27680;5812,8;21867,2;2930,9;18936,3;0,1627906976744186;169,513178295;146,793023256
2025-10-01;online;1748;323;340150;71431,5;268718,5;47747,6;220970,9;0,1847826086956521;153,729118993;126,413558352
2025-10-01;retail;557;82;109350;22963,5;86386,5;11936,9;74449,6;0,1472172351885098;155,092459605;133,661759425
2025-10-01;wholesale;394;20;78860;0,0;78860,0;3870,0;74990,0;0,0507614213197969;200,152284264;190,329949239
2025-11-01;marketplace;193;27;40530;8511,3;32018,7;5040,2;26978,5;0,1398963730569948;165,9;139,784974093
2025-11-01;online;2142;380;419410;88076,1;331333,9;53396,1;277937,8;0,1774042950513538;154,684360411;129,75620915
2025-11-01;retail;790;118;163620;34360,2;129259,8;17893,5;111366,3;0,1493670886075949;163,62;140,97
2025-11-01;wholesale;483;25;98630;0,0;98630,0;4970,0;93660,0;0,05175983436853;204,202898551;193,913043478
2025-12-01;marketplace;187;18;34780;7303,8;27476,2;3049,4;24426,8;0,0962566844919786;146,931550802;130,62459893
2025-12-01;online;2475;445;501600;105336,0;396264,0;71629,3;324634,7;0,1797979797979797;160,106666667;131,165535354
2025-12-01;retail;830;103;162300;34083,0;128217,0;16566,3;111650,7;0,1240963855421686;154,478313253;134,518915663
2025-12-01;wholesale;629;23;118870;0,0;118870,0;3470,0;115400,0;0,0365659777424483;188,982511924;183,46581876
2026-01-01;marketplace;134;26;28340;5951,4;22388,6;5214,0;17174,6;0,1940298507462686;167,079104478;128,168656716
2026-01-01;online;1502;267;300450;63094,5;237355,5;41190,6;196164,9;0,177762982689747;158,026298269;130,602463382
2026-01-01;retail;466;69;91520;19219,2;72300,8;11162,7;61138,1;0,148068669527897;155,15193133;131,197639485
2026-01-01;wholesale;361;12;70890;0,0;70890,0;2360,0;68530,0;0,0332409972299169;196,371191136;189,833795014
2026-02-01;marketplace;90;18;17710;3719,1;13990,9;2899,3;11091,6;0,2;155,454444444;123,24
2026-02-01;online;1293;211;245930;51645,3;194284,7;31473,6;162811,1;0,1631863882443928;150,258855375;125,917324053
2026-02-01;retail;452;65;87890;18456,9;69433,1;11391,8;58041,3;0,1438053097345132;153,613053097;128,409955752
2026-02-01;wholesale;295;11;56530;0,0;56530,0;1480,0;55050,0;0,0372881355932203;191,627118644;186,610169492
2026-03-01;marketplace;165;19;31600;6636,0;24964,0;3167,9;21796,1;0,1151515151515151;151,296969697;132,097575758
2026-03-01;online;1781;313;365610;76778,1;288831,9;52092,6;236739,3;0,1757439640651319;162,174003369;132,924929815
2026-03-01;retail;522;72;104090;21858,9;82231,1;12711,1;69520,0;0,1379310344827586;157,530842912;133,180076628
2026-03-01;wholesale;424;13;86330;0,0;86330,0;2430,0;83900,0;0,0306603773584905;203,608490566;197,877358491
2026-04-01;marketplace;163;24;31950;6709,5;25240,5;2875,6;22364,9;0,147239263803681;154,849693252;137,20797546
2026-04-01;online;1811;322;380320;79867,2;300452,8;53625,2;246827,6;0,1778023191606847;165,904362231;136,293539481
2026-04-01;retail;615;87;126550;26575,5;99974,5;13967,2;86007,3;0,1414634146341463;162,560162602;139,849268293
2026-04-01;wholesale;483;19;98130;0,0;98130,0;4440,0;93690,0;0,0393374741200828;203,167701863;193,97515528
2026-05-01;marketplace;171;26;35390;7431,9;27958,1;4029,0;23929,1;0,1520467836257309;163,497660819;139,93625731
2026-05-01;online;1814;329;371010;77912,1;293097,9;51326,3;241771,6;0,181367144432194;161,575468578;133,28092613
2026-05-01;retail;571;78;108910;22871,1;86038,9;11589,3;74449,6;0,1366024518388791;150,681085814;130,384588441
2026-05-01;wholesale;429;20;89120;0,0;89120,0;4180,0;84940,0;0,0466200466200466;207,738927739;197,995337995
