year_month;channel;units_sold;units_returned;net_sales_at_sale;returned_sales_value;realized_net_sales;return_rate
2025-02-01;retail;331;28;51895,1;4819,0;47076,1;0,0845921450151057
2025-02-01;wholesale;256;15;50380,0;3180,0;47200,0;0,05859375
2025-03-01;marketplace;103;11;15152,2;1303,5;13848,7;0,1067961165048543
2025-03-01;online;1412;252;218482,4;40361,1;178121,3;0,178470254957507
2025-03-01;retail;488;61;78526,0;11470,8;67055,2;0,125
2025-03-01;wholesale;364;18;71610,0;4520,0;67090,0;0,0494505494505494
2025-04-01;marketplace;148;19;20255,6;3041,5;17214,1;0,1283783783783783
2025-04-01;online;1500;286;229921,6;42636,3;187285,3;0,1906666666666666
2025-04-01;retail;484;76;74038,8;11778,9;62259,9;0,1570247933884297
2025-04-01;wholesale;374;17;70780,0;4150,0;66630,0;0,0454545454545454
2025-05-01;marketplace;161;26;24837,6;3673,5;21164,1;0,1614906832298136
2025-05-01;online;1623;270;251141,0;44769,3;206371,7;0,166358595194085
2025-05-01;retail;514;69;75642,5;10206,8;65435,7;0,1342412451361867
2025-05-01;wholesale;380;18;73050,0;4100,0;68950,0;0,0473684210526315
2025-06-01;marketplace;151;23;22894,2;2701,8;20192,4;0,152317880794702
2025-06-01;online;1603;289;258093,0;42699,5;215393,5;0,1802869619463506
2025-06-01;retail;606;79;101451,8;13430,0;88021,8;0,1303630363036303
2025-06-01;wholesale;445;17;88340,0;2720,0;85620,0;0,0382022471910112
2025-07-01;marketplace;145;19;21764,5;2717,6;19046,9;0,1310344827586207
2025-07-01;online;1654;315;259112,1;51626,5;207485,6;0,1904474002418379
2025-07-01;retail;486;88;74520,7;12197,6;62323,1;0,1810699588477366
2025-07-01;wholesale;437;18;85750,0;2810,0;82940,0;0,0411899313501144
2025-08-01;marketplace;110;12;16455,7;1390,4;15065,3;0,109090909090909
2025-08-01;online;1538;271;234716,9;43110,3;191606,6;0,1762028608582574
2025-08-01;retail;542;53;83811,1;7915,8;75895,3;0,0977859778597785
2025-08-01;wholesale;367;7;71360,0;2030,0;69330,0;0,0190735694822888
2025-09-01;marketplace;141;20;23723,7;2425,3;21298,4;0,1418439716312056
2025-09-01;online;1658;298;255170,0;44437,5;210732,5;0,1797346200241254
2025-09-01;retail;519;70;79837,4;11597,2;68240,2;0,1348747591522158
2025-09-01;wholesale;371;20;72550,0;2700,0;69850,0;0,0539083557951482
2025-10-01;marketplace;129;21;21867,2;2930,9;18936,3;0,1627906976744186
2025-10-01;online;1748;323;268718,5;47747,6;220970,9;0,1847826086956521
2025-10-01;retail;557;82;86386,5;11936,9;74449,6;0,1472172351885098
2025-10-01;wholesale;394;20;78860,0;3870,0;74990,0;0,0507614213197969
2025-11-01;marketplace;193;27;32018,7;5040,2;26978,5;0,1398963730569948
2025-11-01;online;2142;380;331333,9;53396,1;277937,8;0,1774042950513538
2025-11-01;retail;790;118;129259,8;17893,5;111366,3;0,1493670886075949
2025-11-01;wholesale;483;25;98630,0;4970,0;93660,0;0,05175983436853
2025-12-01;marketplace;187;18;27476,2;3049,4;24426,8;0,0962566844919786
2025-12-01;online;2475;445;396264,0;71629,3;324634,7;0,1797979797979797
2025-12-01;retail;830;103;128217,0;16566,3;111650,7;0,1240963855421686
2025-12-01;wholesale;629;23;118870,0;3470,0;115400,0;0,0365659777424483
2026-01-01;marketplace;134;26;22388,6;5214,0;17174,6;0,1940298507462686
2026-01-01;online;1502;267;237355,5;41190,6;196164,9;0,177762982689747
2026-01-01;retail;466;69;72300,8;11162,7;61138,1;0,148068669527897
2026-01-01;wholesale;361;12;70890,0;2360,0;68530,0;0,0332409972299169
2026-02-01;marketplace;90;18;13990,9;2899,3;11091,6;0,2
2026-02-01;online;1293;211;194284,7;31473,6;162811,1;0,1631863882443928
2026-02-01;retail;452;65;69433,1;11391,8;58041,3;0,1438053097345132
2026-02-01;wholesale;295;11;56530,0;1480,0;55050,0;0,0372881355932203
2026-03-01;marketplace;165;19;24964,0;3167,9;21796,1;0,1151515151515151
2026-03-01;online;1781;313;288831,9;52092,6;236739,3;0,1757439640651319
2026-03-01;retail;522;72;82231,1;12711,1;69520,0;0,1379310344827586
2026-03-01;wholesale;424;13;86330,0;2430,0;83900,0;0,0306603773584905
2026-04-01;marketplace;163;24;25240,5;2875,6;22364,9;0,147239263803681
2026-04-01;online;1811;322;300452,8;53625,2;246827,6;0,1778023191606847
2026-04-01;retail;615;87;99974,5;13967,2;86007,3;0,1414634146341463
2026-04-01;wholesale;483;19;98130,0;4440,0;93690,0;0,0393374741200828
2026-05-01;marketplace;171;26;27958,1;4029,0;23929,1;0,1520467836257309
2026-05-01;online;1814;329;293097,9;51326,3;241771,6;0,181367144432194
2026-05-01;retail;571;78;86038,9;11589,3;74449,6;0,1366024518388791
2026-05-01;wholesale;429;20;89120,0;4180,0;84940,0;0,0466200466200466
